created_at             ,entry_id,field1,field2,field5  --FROM THE ORIGINAL---
2022-04-23 21:56:20 UTC,       1,  20.9,  48.7,   -69  20.9,  48.7,  -69,    
2022-04-23 21:56:49 UTC,       2,  20.9,  48.7,   -75  20.9,  48.7,  -75,    
2022-04-23 21:57:20 UTC,       3,  20.9,  48.7,   -64  20.9,  48.7,  -64,    
2022-04-23 21:57:50 UTC,       4,  20.9,  48.6,   -65  20.9,  48.6,  -65,    
2022-04-23 21:58:20 UTC,       5,  20.9,  48.6,   -63  20.9,  48.6,  -63,    
2022-04-23 21:58:51 UTC,       6,  20.9,  48.6,   -68  20.9,  48.6,  -68,    
2022-04-23 21:59:21 UTC,       7,  20.9,  48.6,   -64  20.9,  48.6,  -64,    
2022-04-23 21:59:50 UTC,       8,  20.9,  48.6,   -75  20.9,  48.6,  -75,    
2022-04-23 22:00:20 UTC,       9,  20.9,  48.6,   -77  20.9,  48.6,  -77,    
2022-04-23 22:00:50 UTC,      10,  20.9,  48.7,   -63  20.9,  48.7,  -63,    
2022-04-23 22:01:20 UTC,      11,  20.9,  48.6,   -69  20.9,  48.6,  -69,    
2022-04-23 22:01:50 UTC,      12,  20.9,  48.6,   -74  20.9,  48.6,  -74,    
2022-04-23 22:02:21 UTC,      13,  20.9,  48.6,   -78  20.9,  48.6,  -78,    
2022-04-23 22:02:50 UTC,      14,  20.9,  48.6,   -62  20.9,  48.6,  -62,    
2022-04-23 22:03:21 UTC,      15,  20.9,  48.5,   -76  20.9,  48.5,  -76,    
2022-04-23 22:03:53 UTC,      16,  20.9,  48.6,   -79  20.9,  48.6,  -79,    
2022-04-23 22:04:20 UTC,      17,  20.9,  48.6,   -82  20.9,  48.6,  -82,    
2022-04-23 22:04:52 UTC,      18,  20.9,  48.6,   -80  20.9,  48.6,  -80,    
2022-04-23 22:05:21 UTC,      19,  20.9,  48.7,   -63  20.9,  48.7,  -63,    
2022-04-23 22:05:50 UTC,      20,  20.9,  48.7,   -80  20.9,  48.7,  -80,    
2022-04-23 22:06:20 UTC,      21,  20.9,  48.6,   -71  20.9,  48.6,  -71,    
2022-04-23 22:06:51 UTC,      22,  20.9,  48.6,   -78  20.9,  48.6,  -78,    
2022-04-23 22:07:21 UTC,      23,  20.9,  48.5,   -79  20.9,  48.5,  -79,    
2022-04-23 22:07:50 UTC,      24,  20.9,  48.5,   -63  20.9,  48.5,  -63,    
2022-04-23 22:08:20 UTC,      25,  20.9,  48.6,   -63  20.9,  48.6,  -63,    
2022-04-23 22:08:50 UTC,      26,  20.9,  48.8,   -63  20.9,  48.8,  -63,    
2022-04-23 22:09:20 UTC,      27,    21,  48.9,   -73  21.0,  48.9,  -73,    
2022-04-23 22:09:50 UTC,      28,    21,  49.8,   -77  21.0,  49.8,  -77,    
2022-04-23 22:10:20 UTC,      29,    21,  50.3,   -64  21.0,  50.3,  -64,    
2022-04-23 22:10:50 UTC,      30,    21,  50.1,   -62  21.0,  50.1,  -62,    
2022-04-23 22:11:20 UTC,      31,    21,  50.7,   -65  21.0,  50.7,  -65,    
2022-04-23 22:11:50 UTC,      32,    21,  51.6,   -72  21.0,  51.6,  -72,    
2022-04-23 22:12:21 UTC,      33,    21,  51.9,   -65  21.0,  51.9,  -65,    
2022-04-23 22:12:50 UTC,      34,    21,    52,   -72  21.0,  52.0,  -72,    
2022-04-23 22:13:21 UTC,      35,    21,  51.9,   -81  21.0,  51.9,  -81,    
2022-04-23 22:13:51 UTC,      36,    21,  51.8,   -72  21.0,  51.8,  -72,    
2022-04-23 22:14:20 UTC,      37,    21,  51.6,   -66  21.0,  51.6,  -66,    
2022-04-23 22:14:50 UTC,      38,    21,  51.4,   -65  21.0,  51.4,  -65,    
2022-04-23 22:15:22 UTC,      39,    21,  51.2,   -66  21.0,  51.2,  -66,    
2022-04-23 22:15:52 UTC,      40,    21,  51.1,   -73  21.0,  51.1,  -73,    
2022-04-23 22:16:21 UTC,      41,    21,  50.9,   -65  21.0,  50.9,  -65,    
2022-04-23 22:16:50 UTC,      42,    21,  50.8,   -65  21.0,  50.8,  -65,    
